image,label
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\-yoga-exercises-mat-healthy-lifestyle-workout-vector-illustration_263366-710.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\-yoga-exercises-mat-healthy-lifestyle-workout-vector-illustration_263366-718.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\0_how_to_practice_bridge_pose_setu_bandha_variations_for_variety_and_strength.png,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\10-Yoga-Poses-That-Prepare-You-for-Full-Wheel-Pose.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\160403-015x_web.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\23416-yoga-6-supported-bridge-pose.png,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\350499f482197dcc8c9901f6aee1bfb1.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\5.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\8455528425_30f1b09f87_b.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\852ed12d38c65a713d32cdc1e471081e.png,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\AdobeStock_323407683.jpeg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\AOh-ky1xuGSuo1cFBPOmcqkrelO7CtXbSsHfwZPiu8CQbAs64-c-mo.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\archers-pose-akarna-dhanurasana-16215917068c4pl.png,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\b0cbf8517f5ba813cd6b88b604227e8d.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\bridge-1.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\bridge-pose-1.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\Bridge-pose-4.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\bridge-pose-for-hip-stability-569aae21a7fc08d4d80e93f210b68171.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\Bridge-Pose-George.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\Bridge-Pose-Handout-1024x791.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\bridge-pose-setu-bandasana-asana.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\Bridge-pose-Setu-Bandha-Sarvangasana-Ekhart-Yoga.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\bridge-pose-setu-bandha-sarvangasana.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\Bridge-Pose-Setu-Bandha-Sarvangasana.png,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\bridge-pose-vector-illustration-decorative-design-189656202.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\Bridge-Pose-Yoga-for-kids-650x325.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\bridge-pose-yoga-workout-healthy-lifestyle-vector-36113869.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\bridge-pose-yoga-workout-outline-vector-clipart_csp89556108.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\bridge-pose-yoga-workout-setu-bandha-vector-clipart_csp92698204.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\BRIDGE-WHEEL-POSE.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\bridge-yoga-pose.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\bridge.png,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\bridgepose-2_copy.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\Bridge_9810.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\Bridge_9812.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\Bridge_9813.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\bridge_art_of_living_blog2028129.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\Bridge_DaynaSeraye-768x432.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\bridge_pose_flow__setubandha_sarvangasana_vinyasa_yoga.png,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\bridge_pose_variation_arms_flow_i__setubandha_sarvangasana_variation_hasta_vinyasa_i_yoga.png,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\c4eac025c1be4776236caba3520d3859.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\cba29b102360c2d0f69269d36f9a3f77.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\ce23e39210c318589d621d66d5678571.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\E0A4B8E0A587E0A4A4E0A581E0A4ACE0A482E0A4A7E0A4BEE0A4B8E0A4A8.jpg,Bridge-Pose
C:\Users\Manveen\PycharmProjects\AsanaBot\yoga-pose-classification-dataset\Bridge-Pose\eka_pada_setubandha_sarvangasana_yoga.png,Bridge-Pose
